time_seconds,distance_m,vertical_m
0.0,0.0,0.0
0.03333333333333333,0.0,0.0
0.06666666666666667,-1.1628065748553037e-05,-2.7757347820652277e-05
0.1,-2.3221219590566186e-05,-5.5514695641304554e-05
0.13333333333333333,-3.502219976179174e-05,-8.335416579278716e-05
0.16666666666666666,-4.661535360380493e-05,-0.00011111151361343943
0.2,-5.8329876563694165e-05,-0.0001388688614340917
0.23333333333333334,-6.98365731943711e-05,-0.00016662620925474397
0.26666666666666666,-8.155109615426035e-05,-0.00019438355707539627
0.3,-9.323070720760986e-05,-0.00022222302722687886
0.3333333333333333,-0.00010494523016749916,-0.00024998037504753113
0.36666666666666664,-0.00011645192679817596,-0.0002777377228681834
0.4,8.608792067713779e-05,-0.0003054950706888357
0.43333333333333335,0.0002885063990345752,-0.00033325241850948794
0.4666666666666667,0.0004911327037212251,-0.00036109188866097056
0.5,0.0006936725511965389,-0.00038884923648162283
0.5333333333333333,0.0008963504011879853,-0.0004166065843022751
0.5666666666666667,0.0010988902486632989,-0.00044436393212292743
0.6,0.0013013951842320729,-0.0004721212799435797
0.6333333333333333,0.0015039350317073864,-0.0004999607500950623
0.6666666666666666,0.0014359940607100179,-0.0005277180979157145
0.7,0.0013680530897126487,-0.0005553933234055365
0.7333333333333333,0.0013000256615039439,-0.0005832327935570191
0.7666666666666667,0.0012319982332952386,-0.0006109901413776713
0.8,0.0011640057169930735,-0.000638829611529154
0.8333333333333334,0.0010960647459957046,-0.0006665869593498062
0.8666666666666667,0.0010281237749983358,-0.0006943443071704585
0.9,0.0009601828040009672,-0.0007221016549911108
0.9333333333333333,0.0006154269711589693,-0.000749859002811763
0.9666666666666667,-0.00019770864493199762,-0.0007776984729632457
1.0,-7.429745618432016e-05,-0.0008054558207838979
1.0333333333333334,4.911373256335731e-05,-0.0008332131686045502
1.0666666666666667,0.00017235200688836184,-0.0008609705164252025
1.1,0.00031236298021260304,-0.0008887278642458549
1.1333333333333333,0.0004522874963255081,-0.0009165673343973374
1.1666666666666667,0.0005922120124384122,-0.0009443246822179896
1.2,-0.0002501448738545605,-0.0009720820300386419
1.2333333333333334,-0.0004504701537692344,-0.0009998393778592942
1.2666666666666666,-0.0006506225192612371,-0.0010275967256799465
1.3,-0.0008507748847532388,-0.0010553540735005987
1.3333333333333333,-0.0010509272502452402,-0.0010831935436520813
1.3666666666666667,-0.001064650034814318,-0.0011109508914727336
1.4,-0.0010783212740785998,-0.0011387903616242162
1.4333333333333333,-0.0010920440586476778,-0.0011664655871140382
1.4666666666666666,-0.0011058017551232961,-0.0011942229349346904
